                                           paddleballgame
                                              logfile
time                     score    playtime         win?             

Sat Oct 12 20:09:28 2019   1   11.636755228042603   False

Sat Oct 12 20:11:14 2019   0   5.4665539264678955   False

Sat Oct 12 20:12:04 2019   5   31.32535409927368   True

Fri Oct 25 18:21:16 2019   0   5.70047664642334   False

Fri Oct 25 18:35:51 2019   0   5.459280967712402   False

Fri Oct 25 18:36:59 2019   0   5.512129068374634   False

Fri Oct 25 18:38:32 2019   0   5.459670782089233   False

Fri Oct 25 18:39:04 2019   0   5.458112716674805   False

Sat Dec 14 13:46:03 2019   5   29.244982719421387   True

Sat Dec 14 14:31:32 2019   0   5.500243186950684   False

Sat Dec 14 14:33:22 2019   0   5.505839586257935   False

Sat Dec 14 14:33:46 2019   0   5.53104043006897   False

Sat Dec 14 14:33:46 2019   0   5.562464237213135   False

Sat Dec 14 14:33:46 2019   0   5.589586019515991   False

Sat Dec 14 14:33:46 2019   0   5.6159937381744385   False

Sat Dec 14 14:33:46 2019   0   5.643124580383301   False

Sat Dec 14 14:33:46 2019   0   5.670982122421265   False

Sat Dec 14 14:33:46 2019   0   5.697478294372559   False

Sat Dec 14 14:33:46 2019   0   5.724107503890991   False

Sat Dec 14 14:33:46 2019   0   5.748820543289185   False

Sat Dec 14 14:33:46 2019   0   5.776123762130737   False

Sat Dec 14 14:33:46 2019   0   5.80241847038269   False

Sat Dec 14 14:33:46 2019   0   5.828121662139893   False

Sat Dec 14 14:33:46 2019   0   5.854905605316162   False

Sat Dec 14 14:33:47 2019   0   5.881622552871704   False

Sat Dec 14 14:33:47 2019   0   5.908649921417236   False

Sat Dec 14 14:33:47 2019   0   5.933538913726807   False

Sat Dec 14 14:33:47 2019   0   5.960850715637207   False

Sat Dec 14 14:33:47 2019   0   5.98830509185791   False

Sat Dec 14 14:33:47 2019   0   6.013785123825073   False

Sat Dec 14 14:33:47 2019   0   6.042318820953369   False

Sat Dec 14 14:33:47 2019   0   6.069436073303223   False

Sat Dec 14 14:33:47 2019   0   6.0971033573150635   False

Sat Dec 14 14:33:47 2019   0   6.123783349990845   False

Sat Dec 14 14:33:47 2019   0   6.151899099349976   False

Sat Dec 14 14:33:47 2019   0   6.179685115814209   False

Sat Dec 14 14:33:47 2019   0   6.206762075424194   False

Sat Dec 14 14:33:47 2019   0   6.23378324508667   False

Sat Dec 14 14:33:47 2019   0   6.260899066925049   False

Sat Dec 14 14:33:47 2019   0   6.288984775543213   False

Sat Dec 14 14:33:47 2019   0   6.316656589508057   False

Sat Dec 14 14:33:47 2019   0   6.345534324645996   False

Sat Dec 14 14:33:47 2019   0   6.373397350311279   False

Sat Dec 14 14:33:47 2019   0   6.399020433425903   False

Sat Dec 14 14:33:47 2019   0   6.4275596141815186   False

Sat Dec 14 14:33:47 2019   0   6.454857587814331   False

Sat Dec 14 14:33:47 2019   0   6.486219167709351   False

Sat Dec 14 14:33:47 2019   0   6.513700723648071   False

Sat Dec 14 14:33:47 2019   0   6.540797472000122   False

Sat Dec 14 14:33:47 2019   0   6.568432569503784   False

Sat Dec 14 14:33:47 2019   0   6.596537828445435   False

Sat Dec 14 14:33:47 2019   0   6.623539686203003   False

Sat Dec 14 14:33:47 2019   0   6.651414155960083   False

Sat Dec 14 14:33:47 2019   0   6.679406404495239   False

Sat Dec 14 14:33:47 2019   0   6.706806182861328   False

Sat Dec 14 14:33:47 2019   0   6.734186172485352   False

Sat Dec 14 14:33:47 2019   0   6.762226104736328   False

Sat Dec 14 14:33:47 2019   0   6.7912917137146   False

Sat Dec 14 14:33:47 2019   0   6.819096088409424   False

Sat Dec 14 14:33:47 2019   0   6.847107172012329   False

Sat Dec 14 14:33:47 2019   0   6.874067306518555   False

Sat Dec 14 14:33:48 2019   0   6.901471853256226   False

Sat Dec 14 14:33:48 2019   0   6.927783250808716   False

Sat Dec 14 14:33:48 2019   0   6.959719896316528   False

Sat Dec 14 14:33:48 2019   0   6.987516164779663   False

Sat Dec 14 14:33:48 2019   0   7.014434337615967   False

Sat Dec 14 14:33:48 2019   0   7.04144549369812   False

Sat Dec 14 14:33:48 2019   0   7.0678791999816895   False

Sat Dec 14 14:33:48 2019   0   7.092869281768799   False

Sat Dec 14 14:33:48 2019   0   7.1179280281066895   False

Sat Dec 14 14:33:48 2019   0   7.145437479019165   False

Sat Dec 14 14:33:48 2019   0   7.170503854751587   False

Sat Dec 14 14:33:48 2019   0   7.197424411773682   False

Sat Dec 14 14:33:48 2019   0   7.223798990249634   False

Sat Dec 14 14:33:48 2019   0   7.252006769180298   False

Sat Dec 14 14:33:48 2019   0   7.276754379272461   False

Sat Dec 14 14:33:48 2019   0   7.3052284717559814   False

Sat Dec 14 14:33:48 2019   0   7.331703424453735   False

Sat Dec 14 14:33:48 2019   0   7.360569000244141   False

Sat Dec 14 14:33:48 2019   0   7.386943101882935   False

Sat Dec 14 14:33:48 2019   0   7.412343978881836   False

Sat Dec 14 14:33:48 2019   0   7.437434196472168   False

Sat Dec 14 14:33:48 2019   0   7.465590476989746   False

Sat Dec 14 14:33:48 2019   0   7.492589235305786   False

Sat Dec 14 14:33:48 2019   0   7.519232273101807   False

Sat Dec 14 14:33:48 2019   0   7.546614646911621   False

Sat Dec 14 14:33:48 2019   0   7.573568344116211   False

Sat Dec 14 14:33:48 2019   0   7.600628137588501   False

